代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="600881"	亚泰集团	-0.18	5.42	-0.01	5.40	5.41	606882	23	          0.18	          3.20	5.45	5.68	5.34	5.43	    48.00	334056224	  1.54	水泥	吉林	 6.26	
="600617"	国新能源	-0.23	25.65	-0.06	25.66	25.67	43267	10	         -0.11	          4.22	26.00	26.01	24.78	25.71	    36.48	110667920	  0.92	供气供热	山西	 4.78	
="000729"	燕京啤酒	-0.29	6.84	-0.02	6.83	6.84	357820	2967	          0.14	          1.43	6.86	6.95	6.78	6.86	    15.73	246093248	  2.06	啤酒	北京	 2.48	
="600162"	香江控股	-0.32	6.29	-0.02	6.28	6.29	597917	238	          0.00	          7.79	6.45	6.48	6.18	6.31	    14.73	380106624	  1.09	全国地产	深圳	 4.75	
="600201"	金宇集团	-0.48	35.39	-0.17	34.90	35.48	16435	100	          0.53	          0.59	35.60	35.81	34.50	35.56	    24.50	57552944	  0.99	生物制药	内蒙	 3.68	
="000752"	西藏发展	-0.64	14.00	-0.09	13.99	14.00	159101	738	          0.00	          6.03	14.10	14.57	13.67	14.09	   204.13	226642416	  1.25	啤酒	西藏	 6.39	
="000776"	广发证券	-0.69	12.96	-0.09	12.96	12.97	1725066	7818	         -0.15	          2.91	13.13	13.65	12.62	13.05	    18.92	2286117376	  1.50	证券	广东	 7.89	
="601688"	华泰证券	-0.73	12.25	-0.09	12.23	12.24	2370580	190	          1.32	          4.23	12.50	13.06	11.81	12.34	    19.45	2960793344	  1.55	证券	江苏	10.13	
="601788"	光大证券	-0.77	12.91	-0.10	12.88	12.90	1358887	10	         -0.61	          3.98	13.39	13.69	12.40	13.01	    36.83	1790647680	  1.50	证券	上海	 9.92	
="601111"	中国国航	-0.84	4.72	-0.04	4.71	4.72	1433869	84	          0.21	          1.72	4.79	5.05	4.58	4.76	    14.67	690584704	  1.72	空运	北京	 9.87	
="600078"	澄星股份	-0.88	9.04	-0.08	9.03	9.04	131960	17	          0.11	          1.99	9.15	9.18	8.80	9.12	   166.83	118744784	  0.91	化工原料	江苏	 4.17	
="600864"	哈投股份	-0.96	9.31	-0.09	9.29	9.30	243381	14	          0.10	          4.45	9.46	9.79	9.22	9.40	   117.13	232910592	  2.05	火力发电	黑龙江	 6.06	
="002450"	康得新	-1.01	32.35	-0.33	32.35	32.36	232664	1644	          0.15	          2.46	32.70	33.35	31.90	32.68	    32.73	761518848	  0.94	化工原料	江苏	 4.44	
="300099"	尤洛卡	-1.02	14.57	-0.15	14.45	14.57	36044	1758	          1.46	          3.33	14.72	15.40	14.18	14.72	   183.56	52363416	  1.04	电器仪表	山东	 8.29	
="600663"	陆家嘴	-1.11	22.33	-0.25	22.33	22.35	239883	30	          0.00	          1.77	22.84	23.60	21.80	22.58	    31.70	548813760	  1.65	园区开发	上海	 7.97	
="002563"	森马服饰	-1.12	37.08	-0.42	37.08	37.09	16192	227	          0.10	          2.31	37.41	37.43	36.60	37.50	    27.76	59758160	  1.41	服饰	浙江	 2.21	
="300019"	硅宝科技	-1.27	17.84	-0.23	17.84	17.88	23647	125	          0.22	          2.20	18.08	18.39	17.51	18.07	    36.99	42655808	  0.97	化工原料	四川	 4.87	
="000686"	东北证券	-1.30	11.40	-0.15	11.39	11.40	1573853	9665	         -0.26	          9.32	11.70	12.26	11.15	11.55	    27.78	1850946816	  1.60	证券	吉林	 9.61	
="000926"	福星股份	-1.33	8.17	-0.11	8.16	8.17	282755	2690	          0.00	          5.35	8.29	8.39	8.08	8.28	     7.53	232884752	  0.96	区域地产	湖北	 3.74	
="000089"	深圳机场	-1.35	5.11	-0.07	5.10	5.11	181222	633	          0.39	          1.07	5.17	5.34	5.02	5.18	    33.79	94147664	  1.04	机场	深圳	 6.18	
="002557"	洽洽食品	-1.38	20.74	-0.29	20.52	20.74	39751	3056	          0.87	          1.18	21.19	21.20	20.20	21.03	    25.46	81768984	  0.68	食品	安徽	 4.76	
="000998"	隆平高科	-1.47	17.46	-0.26	17.46	17.47	218590	917	          0.11	          2.63	17.72	17.88	17.36	17.72	   112.40	385973472	  1.22	种植业	湖南	 2.93	
="300091"	金通灵	-1.64	23.39	-0.39	23.13	23.39	19061	162	          0.90	          1.51	23.80	23.85	22.62	23.78	   407.15	43855788	  1.99	机械基件	江苏	 5.17	
="002650"	加加食品	-1.70	13.30	-0.23	13.30	13.32	82183	662	          0.30	          3.66	13.55	13.70	12.95	13.53	    40.46	108829784	  0.97	食品	湖南	 5.54	
="601666"	平煤股份	-1.76	5.01	-0.09	5.00	5.01	652495	93	         -0.19	          2.76	5.08	5.25	4.85	5.10	   102.64	332001568	  1.42	煤炭开采	河南	 7.84	
="600004"	白云机场	-1.87	9.46	-0.18	9.46	9.47	209923	12	          0.31	          1.83	9.65	9.93	9.33	9.64	    10.95	201951216	  1.56	机场	广东	 6.22	
