代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="000939"	凯迪电力	9.13	12.55	1.05	12.55	12.56	386789	6039	0.48	          4.11	11.74	12.61	11.61	11.50	    67.88	470831840	  2.50	火力发电	湖北	8.70	
="002028"	思源电气	9.02	14.63	1.21	14.63	14.64	571459	5848	0.48	         12.25	13.58	14.76	13.58	13.42	    20.94	816209920	  2.68	电气设备	上海	8.79	
="600717"	天津港	8.97	18.95	1.56	18.95	18.97	990912	21	0.15	          5.92	17.53	19.05	17.53	17.39	    26.18	1819613824	  2.69	港口	天津	8.74	
="300348"	长亮科技	8.95	122.90	10.10	122.90	122.95	12486	251	0.56	          9.60	112.50	122.90	112.48	112.80	   253.63	149081200	  0.65	软件服务	深圳	9.24	
="300168"	万达信息	8.94	58.60	4.81	58.59	58.60	94213	1490	0.51	          1.97	53.90	58.88	53.90	53.79	   331.28	538638528	  1.34	软件服务	上海	9.26	
="600763"	通策医疗	8.93	50.97	4.18	50.89	50.99	20577	15	-0.35	          1.28	47.49	51.20	47.02	46.79	    67.41	102723200	  2.04	医疗保健	浙江	8.93	
="000547"	闽福发Ａ	8.93	14.64	1.20	14.63	14.64	374141	3011	-0.06	          4.48	13.44	14.78	13.44	13.44	    92.88	527667584	  2.42	通信设备	福建	9.97	
="600584"	长电科技	8.93	14.40	1.18	14.39	14.40	769739	16	0.00	          9.02	13.30	14.50	13.30	13.22	    83.79	1084061952	  1.03	半导体	江苏	9.08	
="002374"	丽鹏股份	8.92	12.33	1.01	12.32	12.33	230203	1537	0.16	         15.31	11.28	12.45	11.20	11.32	   166.73	279091680	  4.32	广告包装	山东	11.04	
="600446"	金证股份	8.89	71.89	5.87	71.91	71.94	76013	5	-0.12	          2.86	65.85	72.62	65.85	66.02	   217.36	531545568	  0.97	软件服务	深圳	10.25	
="601000"	唐山港	8.87	13.26	1.08	13.26	13.27	1257341	432	-0.74	          6.19	12.30	13.40	12.30	12.18	    26.78	1617147904	  1.25	港口	河北	9.03	
="600850"	华东电脑	8.86	45.70	3.72	45.69	45.70	44687	31	-0.21	          2.61	42.00	46.16	42.00	41.98	    65.71	200650624	  0.95	电脑设备	上海	9.91	
="300333"	兆日科技	8.86	31.09	2.53	31.09	31.10	58692	319	0.03	          7.24	28.56	31.12	28.56	28.56	    83.04	175642192	  1.45	元器件	深圳	8.96	
="603188"	亚邦股份	8.84	47.01	3.82	46.98	46.99	89099	3	0.08	         12.37	44.39	47.33	44.37	43.19	    19.71	409234752	  2.35	染料涂料	江苏	6.85	
="002223"	鱼跃医疗	8.80	28.07	2.27	28.06	28.07	125924	2046	0.24	          3.08	25.85	28.07	25.85	25.80	    44.35	346608384	  3.95	医疗保健	江苏	8.60	
="300246"	宝莱特	8.79	25.88	2.09	25.88	25.89	67989	1012	0.15	          6.55	23.65	25.88	23.65	23.79	   125.90	171208128	  2.89	医疗保健	广东	9.37	
="002736"	国信证券	8.78	23.18	1.87	23.18	23.19	4458665	40735	0.69	         37.16	22.00	23.29	21.66	21.31	    51.80	10028666880	  1.23	证券	深圳	7.65	
="600963"	岳阳林纸	8.75	6.09	0.49	6.08	6.09	421177	2	0.66	          5.00	5.68	6.16	5.65	5.60	--  	253620272	  2.09	造纸	湖南	9.11	
="300338"	开元仪器	8.75	17.40	1.40	17.39	17.40	45575	2439	2.41	          9.44	16.21	17.40	16.01	16.00	    50.35	75978056	  2.71	电器仪表	湖南	8.69	
="000926"	福星股份	8.62	10.58	0.84	10.58	10.59	394320	1799	-0.09	          7.46	9.86	10.69	9.86	9.74	     9.75	407826496	  1.96	区域地产	湖北	8.52	
="300398"	飞凯材料	8.62	66.28	5.26	66.28	66.29	37575	444	-0.18	         18.79	61.85	67.12	61.21	61.02	    58.95	242332320	  1.82	染料涂料	上海	9.69	
="600340"	华夏幸福	8.61	49.97	3.96	49.98	50.00	171298	228	-0.07	          1.29	45.37	50.61	45.37	46.01	    17.57	834146816	  1.48	区域地产	河北	11.39	
="300090"	盛运股份	8.58	15.56	1.23	15.56	15.57	187430	1684	-0.38	          4.99	14.59	15.69	14.47	14.33	    46.65	281693696	  2.13	专用机械	安徽	8.51	
="300324"	旋极信息	8.56	52.38	4.13	52.35	52.38	35036	982	1.11	          5.34	48.80	52.55	48.80	48.25	 10066.06	178369344	  1.24	软件服务	北京	7.77	
="600571"	信雅达	8.55	34.39	2.71	34.32	34.39	52709	60	0.32	          2.60	31.96	34.77	31.20	31.68	    79.35	174608320	  0.79	软件服务	浙江	11.27	
="600415"	小商品城	8.55	11.81	0.93	11.82	11.83	341712	10	0.51	          1.26	10.88	11.83	10.88	10.88	    75.10	390970560	  1.66	商品城	浙江	8.73	
="600212"	江泉实业	8.52	9.94	0.78	9.91	9.94	224476	179	0.40	          4.39	9.16	10.02	9.01	9.16	--  	219059232	  2.28	综合类	山东	11.03	
="000566"	海南海药	8.47	17.03	1.33	17.03	17.04	181366	1425	0.05	          3.83	15.81	17.11	15.75	15.70	    37.40	301814720	  2.78	化学制药	海南	8.66	
="300225"	金力泰	8.44	10.92	0.85	10.91	10.92	83893	747	0.27	          4.67	10.14	10.99	10.10	10.07	    33.49	89211200	  1.41	染料涂料	上海	8.84	
="000158"	常山股份	8.39	11.11	0.86	11.10	11.11	238122	1950	0.00	          3.31	10.37	11.17	10.26	10.25	--  	259777168	  2.25	纺织	河北	8.88	
="300322"	硕贝德	8.35	21.67	1.67	21.67	21.68	72597	1690	0.60	          6.72	20.00	21.67	20.00	20.00	    83.58	152171664	  1.69	通信设备	广东	8.35	
="300017"	网宿科技	8.28	68.00	5.20	67.98	68.00	157889	3047	0.30	          7.43	62.94	68.39	62.88	62.80	    52.30	1033034880	  1.13	电信运营	上海	8.77	
="300302"	同有科技	8.23	25.63	1.95	25.63	25.64	45741	403	0.11	         11.12	24.36	26.05	24.10	23.68	   233.95	115937648	  2.48	软件服务	北京	8.23	
="000651"	格力电器	8.22	43.32	3.29	43.31	43.32	497368	7600	0.67	          1.67	41.30	43.32	40.58	40.03	     9.94	2068001792	  1.59	家用电器	广东	6.84	
="002689"	博林特	8.17	10.19	0.77	10.19	10.20	89091	535	0.00	          5.22	9.43	10.35	9.43	9.42	    68.43	88562856	  2.22	运输设备	辽宁	9.77	
="000090"	天健集团	8.17	16.42	1.24	16.42	16.47	187600	1387	-0.72	          3.40	15.47	16.62	15.31	15.18	    50.18	301797120	  0.89	建筑施工	深圳	8.63	
="600498"	烽火通信	8.16	17.24	1.30	17.21	17.29	255710	3	0.34	          2.65	16.21	17.29	16.04	15.94	    35.28	427453344	  1.14	通信设备	湖北	7.84	
="002376"	新北洋	8.15	13.01	0.98	13.01	13.02	531768	2632	0.00	         10.89	12.14	13.04	11.97	12.03	    20.85	672538880	  2.94	电脑设备	山东	8.89	
="300401"	花园生物	8.15	38.37	2.89	38.36	38.37	47713	455	-0.02	         21.02	35.60	38.98	35.00	35.48	   106.46	176647472	  2.03	食品	浙江	11.22	
="002236"	大华股份	8.14	27.78	2.09	27.78	27.79	574219	5461	-0.10	          8.70	25.85	27.92	25.85	25.69	    33.65	1561915392	  1.70	电器仪表	浙江	8.06	
="600601"	方正科技	8.11	5.20	0.39	5.19	5.20	1630791	639	0.77	          7.43	4.82	5.27	4.82	4.81	    64.63	835647552	  2.14	电脑设备	上海	9.36	
="600797"	浙大网新	8.08	8.56	0.64	8.55	8.56	784267	30	0.35	          9.54	8.08	8.69	7.92	7.92	--  	660993984	  1.64	软件服务	浙江	9.72	
="603288"	海天味业	8.07	46.75	3.49	46.72	46.85	80881	4	-0.21	          5.40	43.77	46.98	43.35	43.26	    34.39	367914752	  1.94	食品	广东	8.39	
="002433"	太安堂	8.06	13.40	1.00	13.39	13.40	477935	2298	-0.14	          9.08	12.90	13.64	12.62	12.40	    53.00	634545152	  4.33	中成药	广东	8.23	
="600268"	国电南自	8.04	7.79	0.58	7.78	7.79	288034	13	0.51	          4.53	7.27	7.80	7.21	7.21	--  	217981264	  2.33	电气设备	江苏	8.18	
="300171"	东富龙	8.03	25.96	1.93	25.95	25.96	154678	768	0.03	          9.84	24.02	26.30	24.02	24.03	    28.11	388544992	  6.38	医疗保健	上海	9.49	
="300155"	安居宝	7.97	22.63	1.67	22.63	22.73	187543	1845	0.00	         10.56	21.21	23.06	20.60	20.96	    88.26	417785536	  0.97	元器件	广东	11.74	
