代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	
="600033"	福建高速	2.40	3.41	0.08	3.40	3.41	1001734	33	0.29	          3.65	3.33	3.47	3.30	3.33	    14.06	340048480	  1.22	路桥	福建	5.11	3.39	421946	579787	  0.73	2908	14551	--  	
="600005"	武钢股份	2.31	3.10	0.07	3.09	3.10	1972133	70	0.32	          1.95	3.02	3.11	2.99	3.03	    30.46	601731328	  0.91	普钢	湖北	3.96	3.05	964660	1007473	  0.96	2066	29038	--  	
="600802"	福建水泥	2.20	8.81	0.19	8.81	8.82	243474	105	0.11	          6.38	8.60	8.89	8.48	8.62	--  	212697248	  1.44	水泥	福建	4.76	8.74	103295	140178	  0.74	94	661	--  	
="002294"	信立泰	2.20	37.15	0.80	37.14	37.15	69679	366	0.05	          2.43	36.45	37.60	36.45	36.35	    24.24	259100656	  1.23	化学制药	深圳	3.16	37.18	30971	38707	  0.80	47	36	--  	
="601058"	赛轮股份	2.14	18.58	0.39	18.68	18.69	54284	5	0.43	          1.44	18.27	18.90	18.02	18.19	    24.50	100760528	  1.32	汽车配件	山东	4.84	18.56	24484	29800	  0.82	33	233	--  	
="000993"	闽东电力	2.13	10.09	0.21	10.09	10.10	74353	278	0.00	          1.99	9.92	10.30	9.82	9.88	    32.01	75033488	  1.27	水力发电	福建	4.86	10.09	38994	35358	  1.10	196	259	--  	
="000539"	粤电力Ａ	2.10	6.33	0.13	6.32	6.33	349034	8551	0.00	          1.64	6.21	6.38	6.15	6.20	     8.23	218045600	  1.29	火力发电	广东	3.71	6.25	178495	170538	  1.05	1266	276	--  	
="600639"	浦东金桥	2.04	16.97	0.34	16.94	16.96	257504	97	0.47	          3.92	16.50	16.98	16.30	16.63	    37.05	429396000	  1.03	园区开发	上海	4.09	16.68	141132	116371	  1.21	56	98	--  	
="600655"	豫园商城	2.00	12.22	0.24	12.21	12.22	236814	10	0.08	          1.65	11.98	12.24	11.90	11.98	    22.57	285845472	  1.04	百货	上海	2.84	12.07	102700	134113	  0.77	650	399	--  	
="300094"	国联水产	1.95	10.45	0.20	10.43	10.45	121854	1645	-0.66	          3.47	10.25	10.68	10.10	10.25	    92.98	127188160	  1.45	渔业	广东	5.66	10.44	41186	80668	  0.51	2	85	--  	
="601333"	广深铁路	1.94	3.68	0.07	3.67	3.69	1485416	3166	-0.27	          2.63	3.62	3.69	3.58	3.61	    30.09	542375552	  0.97	铁路	深圳	3.05	3.65	683524	801891	  0.85	10590	26082	--  	
="000089"	深圳机场	1.93	5.82	0.11	5.81	5.82	227826	1895	-0.34	          1.35	5.71	5.88	5.64	5.71	    38.49	130993168	  0.79	机场	深圳	4.20	5.75	98672	129154	  0.76	2161	1023	--  	
="601006"	大秦铁路	1.90	9.66	0.18	9.66	9.67	1356208	56	-0.41	          0.91	9.54	9.80	9.38	9.48	     9.65	1296528768	  1.37	铁路	山西	4.43	9.56	569609	786598	  0.72	124	5476	--  	
="000528"	柳    工	1.85	8.83	0.16	8.82	8.83	475074	6737	0.22	          4.22	8.67	8.88	8.61	8.67	    41.53	414064480	  1.08	工程机械	广西	3.11	8.72	230289	244785	  0.94	2978	782	--  	
="600004"	白云机场	1.80	10.18	0.18	10.18	10.19	195633	40	0.29	          1.70	10.00	10.20	9.95	10.00	    11.79	197012320	  1.06	机场	广东	2.50	10.07	86875	108758	  0.80	17	748	--  	
="000333"	美的集团	1.79	25.65	0.45	25.64	25.65	456376	5711	0.19	          2.04	25.57	26.07	24.73	25.20	     9.06	1160537856	  0.86	家用电器	广东	5.32	25.43	209970	246405	  0.85	440	373	--  	
="600720"	祁连山	1.77	9.20	0.16	9.20	9.21	515968	9	0.21	          6.65	9.06	9.24	8.95	9.04	     8.43	469052768	  1.28	水泥	甘肃	3.21	9.09	252320	263648	  0.96	89	1344	--  	
="601179"	中国西电	1.76	5.78	0.10	5.77	5.78	927746	30	0.17	          2.13	5.75	5.83	5.60	5.68	    34.46	528412544	  1.40	电气设备	陕西	4.05	5.70	463653	464092	  1.00	3056	845	--  	
="002160"	*ST常铝	1.56	6.51	0.10	6.51	6.52	140345	1240	-0.15	          4.32	6.55	6.60	6.45	6.41	   110.54	91645232	  1.32	铝	江苏	2.34	6.53	66695	73650	  0.91	1133	977	--  	
="600170"	上海建工	1.53	6.62	0.10	6.61	6.62	927748	217	0.30	          8.44	6.49	6.63	6.41	6.52	    16.97	604836736	  1.01	建筑施工	上海	3.37	6.52	430410	497337	  0.87	1556	4350	--  	
="000877"	天山股份	1.44	8.46	0.12	8.46	8.47	473428	3638	0.11	          5.38	8.35	8.54	8.29	8.34	    18.18	397692608	  1.25	水泥	新疆	3.00	8.40	228200	245228	  0.93	584	359	--  	
="600834"	申通地铁	1.44	10.60	0.15	10.58	10.59	80928	77	0.18	          1.70	10.45	10.60	10.35	10.45	    45.59	84854616	  0.98	公共交通	上海	2.39	10.49	32930	47997	  0.69	300	80	--  	
="002013"	中航机电	1.43	21.98	0.31	21.98	21.99	135150	3974	0.22	          4.61	21.60	22.08	21.48	21.67	    50.69	295037312	  0.72	汽车配件	湖北	2.77	21.83	65367	69783	  0.94	1083	239	--  	
="600098"	广州发展	1.40	7.22	0.10	7.23	7.24	256217	620	0.27	          1.05	7.11	7.27	7.04	7.12	    14.63	183413184	  0.92	火力发电	广东	3.23	7.16	121734	134483	  0.91	72	437	--  	
="600300"	维维股份	1.39	5.82	0.08	5.81	5.82	457759	77	0.00	          2.74	5.72	5.85	5.71	5.74	    86.31	264348336	  1.02	软饮料	江苏	2.44	5.77	197500	260258	  0.76	3150	2702	--  	
="600196"	复星医药	1.37	21.43	0.29	21.42	21.43	479980	149	-0.09	          2.52	21.17	21.58	21.17	21.14	    23.60	1025798336	  1.13	化学制药	上海	1.94	21.37	247204	232775	  1.06	23	35	--  	
="601799"	星宇股份	1.32	21.52	0.28	21.52	21.54	25777	9	0.23	          1.08	21.37	21.68	21.30	21.24	    21.79	55477724	  0.99	汽车配件	江苏	1.79	21.52	13399	12377	  1.08	25	2	--  	
="600068"	葛洲坝	1.18	6.02	0.07	6.02	6.03	1268053	41	0.00	          3.64	5.95	6.05	5.84	5.95	    11.93	754396608	  1.02	建筑施工	湖北	3.53	5.95	564216	703836	  0.80	1539	6915	--  	
="000581"	威孚高科	1.16	28.00	0.32	28.00	28.01	166010	2049	0.21	          2.45	27.78	28.11	27.48	27.68	    17.29	461068032	  1.05	汽车配件	江苏	2.28	27.77	66003	100006	  0.66	1153	508	--  	
="300346"	南大光电	1.11	39.13	0.43	39.13	39.14	14184	167	0.28	          3.96	38.72	39.18	38.70	38.70	    82.73	55136920	  1.12	半导体	江苏	1.24	38.87	7896	6287	  1.26	4	14	--  	
="600058"	五矿发展	1.09	15.82	0.17	15.82	15.83	524308	357	0.06	          4.89	15.68	16.10	15.35	15.65	    71.99	825058240	  1.81	商贸代理	北京	4.79	15.74	247495	276813	  0.89	460	1248	--  	
="600873"	梅花生物	1.07	6.59	0.07	6.59	6.60	379871	483	0.30	          1.22	6.51	6.69	6.48	6.52	    56.63	250187648	  0.92	食品	西藏	3.22	6.59	173449	206421	  0.84	259	1240	--  	
="600223"	鲁商置业	1.07	5.66	0.06	5.64	5.65	152962	1	0.71	          1.53	5.60	5.66	5.53	5.60	    34.31	85568968	  0.78	区域地产	山东	2.32	5.59	78645	74317	  1.06	347	76	--  	
="600331"	宏达股份	1.03	6.84	0.07	6.84	6.85	527201	13	-0.14	          5.11	6.85	6.94	6.68	6.77	--  	359086368	  1.17	铅锌	四川	3.84	6.81	270921	256280	  1.06	67	1305	--  	
="600067"	冠城大通	1.03	7.84	0.08	7.83	7.84	536884	256	-0.12	          4.51	7.71	7.89	7.54	7.76	    20.54	413619584	  0.96	全国地产	福建	4.51	7.70	309535	227348	  1.36	2063	86	--  	
="300138"	晨光生物	0.99	12.24	0.12	12.24	12.25	47489	63	0.16	          3.77	12.13	12.56	12.13	12.12	   128.75	58577260	  1.52	食品	河北	3.55	12.33	25650	21838	  1.17	214	84	--  	
="000601"	韶能股份	0.94	6.47	0.06	6.47	6.48	341430	1777	0.15	          3.43	6.39	6.50	6.32	6.41	    19.74	219259648	  1.13	火力发电	广东	2.81	6.42	168722	172708	  0.98	1977	4179	--  	
="600007"	中国国贸	0.91	14.45	0.13	14.54	14.55	77045	41	-0.34	          0.76	14.37	14.73	14.15	14.32	    25.44	111555304	  0.89	园区开发	北京	4.05	14.48	40863	36181	  1.13	9	131	--  	
="600392"	盛和资源	0.90	23.51	0.21	23.49	23.50	198883	10	-0.16	         12.70	23.22	24.22	23.08	23.30	   230.02	470826400	  1.34	小金属	山西	4.89	23.67	98602	100280	  0.98	41	3	--  	
="002063"	远光软件	0.88	23.05	0.20	23.05	23.06	158775	1822	0.08	          4.06	22.88	23.57	22.80	22.85	    56.07	369110944	  1.06	软件服务	广东	3.37	23.25	90424	68350	  1.32	1073	150	--  	
="600731"	湖南海利	0.86	9.35	0.08	9.32	9.37	38322	23	0.53	          1.50	9.29	9.40	9.26	9.27	   582.96	35699016	  0.84	农药化肥	湖南	1.51	9.32	20529	17793	  1.15	284	119	--  	
="600970"	中材国际	0.86	10.56	0.09	10.56	10.57	453114	707	0.47	          4.14	10.38	10.62	10.23	10.47	    17.54	472696064	  1.27	建筑施工	江苏	3.72	10.43	231980	221134	  1.05	144	835	--  	
