代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	
="600400"	红豆股份	0.32	6.24	0.02	6.23	6.24	115424	202	0.32	          2.06	6.22	6.32	6.18	6.22	   113.18	71894992	  0.75	服饰	
="002160"	*ST常铝	0.32	6.30	0.02	6.30	6.31	82852	635	0.15	          2.55	6.25	6.39	6.22	6.28	   106.97	52388088	  0.81	铝	
="600196"	复星医药	0.19	20.73	0.04	20.73	20.74	327444	22	0.14	          1.72	20.60	20.84	20.51	20.69	    22.82	677701696	  0.79	化学制药	
="000916"	华北高速	0.18	5.58	0.01	5.57	5.58	132183	1225	0.35	          1.21	5.54	5.58	5.49	5.57	    20.76	73145144	  0.99	路桥	
="600331"	宏达股份	0.16	6.41	0.01	6.41	6.42	362610	120	0.15	          3.51	6.40	6.48	6.25	6.40	--  	230580400	  0.79	铅锌	
="600162"	香江控股	0.15	6.70	0.01	6.72	6.75	179470	26	-0.59	          2.34	6.68	6.86	6.61	6.69	    15.69	121345184	  0.63	全国地产	
="601137"	博威合金	0.14	21.88	0.03	21.86	21.87	27369	3	0.13	          1.27	21.60	22.10	21.60	21.85	    69.53	59930632	  0.42	铜	
="600201"	金宇集团	0.06	36.25	0.02	36.22	36.24	20684	3	-0.11	          0.74	36.16	36.49	36.03	36.23	    25.10	75027560	  0.75	生物制药	
="002013"	中航机电	0.05	20.99	0.01	20.98	20.99	156545	2315	0.09	          5.35	21.18	21.45	20.86	20.98	    48.40	328564032	  0.75	汽车配件	
="002271"	东方雨虹	0.03	32.95	0.01	32.94	32.95	67457	897	-0.09	          3.09	32.61	33.01	31.82	32.94	    23.99	218079056	  1.12	其他建材	
="601928"	凤凰传媒	0.00	10.61	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	10.61	    27.58	0	  0.00	出版业	
="600986"	科达股份	0.00	7.05	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	7.05	    36.88	0	  0.00	建筑施工	
="600981"	汇鸿股份	0.00	4.21	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	4.21	    92.48	0	  0.00	商贸代理	
="600876"	洛阳玻璃	0.00	7.24	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	7.24	   374.48	0	  0.00	玻璃	
="600749"	西藏旅游	0.00	12.18	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	12.18	  1161.76	0	  0.00	旅游景点	
="600617"	国新能源	0.00	30.09	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	30.09	    42.79	0	  0.00	供气供热	
="600575"	皖江物流	0.00	4.11	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	4.11	--  	0	  0.00	港口	
="600569"	安阳钢铁	0.00	2.32	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	2.32	    78.40	0	  0.00	普钢	
="600517"	置信电气	0.00	12.45	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	12.45	    84.39	0	  0.00	电气设备	
