代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="601398"	工商银行	5.48	4.04	0.21	4.04	4.05	8537071	3624	         -0.24	          0.32	3.83	4.05	3.82	3.83	     4.83	3356783616	  4.26	银行	北京	 6.01	
="600201"	金宇集团	4.93	36.62	1.72	36.60	36.63	50142	12	         -0.13	          1.79	34.90	37.52	34.85	34.90	    25.35	182109088	  2.90	生物制药	内蒙	 7.65	
="002220"	天宝股份	4.58	9.14	0.40	9.13	9.14	182675	1025	          0.10	          4.69	8.75	9.29	8.74	8.74	    24.67	165102592	  1.75	食品	辽宁	 6.29	
="000563"	陕国投Ａ	3.43	11.17	0.37	11.17	11.18	1192614	6114	          0.35	         15.85	10.82	11.50	10.68	10.80	    41.67	1321435008	  1.72	多元金融	陕西	 7.59	
="600736"	苏州高新	3.22	5.45	0.17	5.45	5.46	632608	420	          0.55	          5.98	5.28	5.46	5.23	5.28	    42.08	339068096	  1.56	园区开发	江苏	 4.36	
="000898"	鞍钢股份	3.07	4.36	0.13	4.35	4.36	1161806	11260	          0.00	          1.89	4.23	4.41	4.20	4.23	    25.63	501032480	  2.18	普钢	辽宁	 4.96	
="000926"	福星股份	3.00	9.26	0.27	9.25	9.26	473414	6923	          0.00	          8.96	8.98	9.34	8.91	8.99	     8.53	431557408	  1.42	区域地产	湖北	 4.78	
="600005"	武钢股份	2.91	2.83	0.08	2.82	2.83	2021150	349	          0.00	          2.00	2.75	2.84	2.73	2.75	    27.81	561863296	  2.30	普钢	湖北	 4.00	
="601628"	中国人寿	2.82	22.60	0.62	22.60	22.61	1050429	276	          0.00	          0.50	21.74	23.01	21.38	21.98	    17.39	2339321088	  0.99	保险	北京	 7.42	
="000625"	长安汽车	2.51	14.70	0.36	14.70	14.71	536551	5953	         -0.06	          1.58	14.34	14.74	14.17	14.34	     9.43	776070208	  1.79	汽车整车	重庆	 3.97	
="600068"	葛洲坝	2.45	5.85	0.14	5.85	5.86	1596503	841	         -0.17	          4.58	5.78	6.11	5.78	5.71	    11.59	944002944	  1.24	建筑施工	湖北	 5.78	
="600897"	厦门空港	2.17	21.61	0.46	21.60	21.61	98712	3	          0.09	          3.31	21.21	22.05	21.21	21.15	    13.35	214345328	  1.81	机场	福建	 3.97	
="600153"	建发股份	2.09	8.32	0.17	8.32	8.33	972984	481	          0.12	          3.43	8.09	8.33	8.00	8.15	    11.24	793551808	  1.18	商贸代理	福建	 4.05	
="601179"	中国西电	2.04	5.49	0.11	5.49	5.50	635851	534	         -0.18	          1.46	5.40	5.51	5.35	5.38	    32.73	345846656	  1.17	电气设备	陕西	 2.97	
="600162"	香江控股	1.90	6.98	0.13	6.98	6.99	369631	171	         -0.28	          4.81	6.83	7.15	6.71	6.85	    16.35	255836912	  0.96	全国地产	深圳	 6.42	
="601588"	北辰实业	1.84	3.87	0.07	3.86	3.87	1184236	1469	          0.00	          4.45	3.76	3.93	3.72	3.80	    30.45	453137088	  1.13	区域地产	北京	 5.53	
="600269"	赣粤高速	1.70	4.18	0.07	4.17	4.18	526286	8	          0.23	          2.25	4.12	4.25	4.09	4.11	    11.98	219207216	  1.58	路桥	江西	 3.89	
="300345"	红宇新材	1.64	22.93	0.37	22.93	22.94	24733	1020	          0.04	          4.00	22.56	23.12	22.40	22.56	   935.87	56607296	  0.74	钢加工	湖南	 3.19	
="000800"	一汽轿车	1.61	12.65	0.20	12.64	12.65	469905	2288	          0.23	          3.33	12.44	12.75	12.34	12.45	    62.70	590189504	  1.88	汽车整车	吉林	 3.29	
="601669"	中国电建	1.44	4.22	0.06	4.21	4.22	2387770	2719	          0.23	          7.24	4.14	4.26	4.10	4.16	     9.14	995820352	  1.22	建筑施工	北京	 3.85	
="600033"	福建高速	1.23	3.28	0.04	3.28	3.29	929238	450	          0.00	          3.39	3.24	3.39	3.22	3.24	    13.52	306317024	  1.83	路桥	福建	 5.25	
="000539"	粤电力Ａ	1.16	6.10	0.07	6.09	6.10	258175	3410	          0.16	          1.21	6.02	6.12	5.96	6.03	     7.93	155398272	  0.93	火力发电	广东	 2.65	
="600170"	上海建工	1.11	6.38	0.07	6.37	6.38	923295	2276	         -0.15	          8.40	6.30	6.42	6.20	6.31	    16.36	584184256	  0.78	建筑施工	上海	 3.49	
="600795"	国电电力	1.02	2.97	0.03	2.97	2.98	3409801	2498	          0.00	          2.21	2.93	2.98	2.90	2.94	     7.50	1001822592	  1.33	火力发电	辽宁	 2.72	
="002461"	珠江啤酒	0.98	16.54	0.16	16.51	16.54	66746	874	          0.00	          0.98	16.39	16.84	16.31	16.38	   140.61	110894584	  1.55	啤酒	广东	 3.24	
="600223"	鲁商置业	0.90	5.60	0.05	5.59	5.60	196585	62	          0.00	          1.96	5.56	5.68	5.47	5.55	    33.95	109893720	  0.77	区域地产	山东	 3.78	
="600801"	华新水泥	0.82	8.56	0.07	8.54	8.55	372930	170	         -0.11	          3.84	8.50	8.60	8.24	8.49	    11.79	314453408	  1.74	水泥	湖北	 4.24	
="000564"	西安民生	0.82	6.14	0.05	6.14	6.15	215360	1505	          0.00	          6.42	6.11	6.28	6.07	6.09	    40.12	133124232	  1.22	百货	陕西	 3.45	
="600098"	广州发展	0.73	6.91	0.05	6.91	6.92	263930	500	         -0.14	          1.08	6.86	7.04	6.80	6.86	    14.01	183277744	  0.78	火力发电	广东	 3.50	
="002481"	双塔食品	0.65	15.39	0.10	15.38	15.39	58944	473	          0.13	          1.57	15.24	15.53	15.09	15.29	    44.61	90264048	  1.57	食品	山东	 2.88	
="002588"	史丹利	0.64	34.61	0.22	34.61	34.62	24505	122	         -0.40	          1.49	34.39	34.85	34.00	34.39	    17.94	84325368	  1.11	农药化肥	山东	 2.47	
="000100"	TCL 集团	0.62	3.26	0.02	3.25	3.26	2565878	36374	          0.30	          3.15	3.24	3.26	3.21	3.24	    10.41	828713088	  1.13	家用电器	广东	 1.54	
="300196"	长海股份	0.50	20.05	0.10	20.04	20.05	12168	73	          0.19	          1.11	19.96	20.30	19.90	19.95	    27.05	24401012	  0.83	玻璃	江苏	 2.01	
="002160"	*ST常铝	0.46	6.50	0.03	6.49	6.50	91774	2005	          0.15	          2.83	6.45	6.55	6.40	6.47	   110.37	59401148	  0.94	铝	江苏	 2.32	
="000016"	深康佳Ａ	0.32	6.18	0.02	6.17	6.18	173504	1467	          0.16	          2.89	6.15	6.22	6.11	6.16	   117.29	106800688	  0.85	家用电器	深圳	 1.79	
="002479"	富春环保	0.31	9.69	0.03	9.69	9.70	77561	2011	          0.10	          1.06	9.66	9.76	9.58	9.66	    39.20	74818336	  1.08	火力发电	浙江	 1.86	
="601700"	风范股份	0.28	17.63	0.05	17.64	17.65	282388	143	         -0.11	         11.98	19.30	19.30	17.22	17.58	    35.70	515175840	  4.17	电气设备	江苏	11.83	
="002013"	中航机电	0.18	22.02	0.04	22.01	22.02	151705	2662	          0.09	          5.18	22.18	22.50	21.57	21.98	    50.78	334379520	  0.80	汽车配件	湖北	 4.23	
