代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
="002028"	思源电气	-1.65	13.12	-0.22	13.11	13.12	134643	1638	0.07	          2.89	13.39	13.45	13.07	13.34	    18.77	178003792	  0.83	电气设备	上海	2.85	13.22	75266	59376	  1.27	1027	307	--  	      46646.76	
="601607"	上海医药	-1.76	17.27	-0.31	17.27	17.28	248372	244	0.23	          1.29	17.56	17.78	17.18	17.58	    18.21	431532576	  0.56	医药商业	上海	3.41	17.37	140971	107400	  1.31	5	348	--  	     192293.50	
="600284"	浦东建设	-1.84	11.71	-0.22	11.71	11.72	226494	46	0.00	          3.43	11.93	12.10	11.70	11.93	    25.63	268774272	  0.84	建筑施工	上海	3.35	11.87	124237	102256	  1.21	381	47	--  	      66104.00	
="601666"	平煤股份	-1.85	6.38	-0.12	6.37	6.38	617992	230	-0.15	          2.62	6.50	6.68	6.33	6.50	   130.70	402061696	  0.73	煤炭开采	河南	5.38	6.51	326255	291736	  1.12	1411	502	--  	     236116.50	
="000655"	金岭矿业	-1.86	9.51	-0.18	9.50	9.51	96792	1744	-0.10	          1.63	9.61	9.77	9.50	9.69	    29.02	93126512	  0.75	普钢	山东	2.79	9.62	52704	44087	  1.20	2463	253	--  	      59534.01	
="600461"	洪城水业	-1.86	11.61	-0.22	11.62	11.63	73524	12	-0.08	          2.23	11.79	11.89	11.58	11.83	    25.26	86112576	  0.59	水务	江西	2.62	11.71	42669	30855	  1.38	20	106	--  	      33000.00	
="000792"	盐湖股份	-1.98	23.75	-0.48	23.75	23.76	166162	1604	-0.04	          1.55	24.41	24.85	23.60	24.23	    43.40	398756800	  0.89	农药化肥	青海	5.16	24.00	97319	68843	  1.41	94	559	--  	     107353.50	
="000725"	京东方Ａ	-2.01	3.41	-0.07	3.40	3.41	3664076	46951	-0.29	          3.18	3.47	3.54	3.40	3.48	    48.66	1265813120	  0.90	元器件	北京	4.02	3.45	1945896	1718179	  1.13	111839	15980	--  	    1150574.38	
="600060"	海信电器	-2.05	11.94	-0.25	11.94	11.95	269176	7	-0.16	          2.06	12.14	12.22	11.91	12.19	    12.75	324083936	  0.61	家用电器	山东	2.54	12.04	143756	125419	  1.15	507	910	--  	     130848.13	
="000937"	冀中能源	-2.14	8.68	-0.19	8.68	8.69	435598	6334	0.11	          1.97	8.81	9.06	8.59	8.87	   433.84	383139456	  0.58	煤炭开采	河北	5.30	8.80	239976	195622	  1.23	107	309	--  	     220706.56	
