代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="300249"	依米康	1.57	14.22	0.22	14.22	14.23	50716	1066	         -0.21	          5.24	14.09	15.00	14.00	14.00	   340.37	72941896	  2.61	专用机械	四川	 7.14	
="000816"	江淮动力	1.57	6.47	0.10	6.47	6.48	360948	1478	          0.46	          3.32	6.37	6.66	6.32	6.37	   163.42	234338480	  1.64	机械基件	江苏	 5.34	
="300216"	千山药机	1.56	35.70	0.55	35.69	35.70	50107	2925	          0.22	          4.11	35.42	35.80	34.21	35.15	    92.12	174652864	  1.27	医疗保健	湖南	 4.52	
="603168"	莎普爱思	1.48	97.79	1.43	97.70	97.80	21648	13	         -0.22	         13.25	96.46	98.77	94.48	96.36	    47.95	208985312	  1.58	化学制药	浙江	 4.45	
="002718"	友邦吊顶	1.48	78.35	1.14	78.32	78.35	10670	296	          0.44	          8.15	76.99	78.35	75.80	77.21	    42.38	82213656	  1.43	家居用品	浙江	 3.30	
="600085"	同仁堂	1.46	18.80	0.27	18.80	18.81	293352	46	          0.21	          2.24	18.59	19.26	18.54	18.53	    31.90	553995968	  2.32	中成药	北京	 3.89	
="002007"	华兰生物	1.45	34.31	0.49	34.30	34.31	210962	479	          0.02	          3.66	33.82	35.50	33.82	33.82	    35.39	731174528	  1.85	生物制药	河南	 4.97	
="002316"	键桥通讯	1.44	11.26	0.16	11.25	11.26	65672	495	          0.26	          1.67	11.16	11.30	10.85	11.10	   740.85	72756776	  1.19	软件服务	深圳	 4.05	
="000159"	国际实业	1.43	11.34	0.16	11.33	11.34	847338	8872	          0.17	         17.61	11.55	11.90	11.01	11.18	    63.08	971032064	  2.61	石油贸易	新疆	 7.96	
="300385"	雪浪环境	1.40	55.75	0.77	55.75	55.76	33262	2433	          1.40	         16.63	54.90	56.15	53.20	54.98	   100.66	181751184	  1.44	专用机械	江苏	 5.37	
="000985"	大庆华科	1.39	17.52	0.24	17.52	17.53	22366	297	          0.40	          1.73	17.20	18.09	17.11	17.28	    87.14	39420520	  1.50	化工原料	黑龙江	 5.67	
="603077"	和邦股份	1.38	11.76	0.16	11.78	11.79	385093	464	         -0.16	         12.84	11.75	12.50	11.30	11.60	    12.87	453991296	  1.77	化工原料	四川	10.34	
="600376"	首开股份	1.35	5.99	0.08	5.99	6.00	715473	19	          0.50	          3.19	5.94	6.04	5.81	5.91	     8.40	425417120	  1.92	区域地产	北京	 3.89	
="000596"	古井贡酒	1.34	25.64	0.34	25.64	25.65	193381	1746	          0.19	          5.04	25.90	27.26	25.11	25.30	    21.04	506218176	  3.93	白酒	安徽	 8.50	
="600028"	中国石化	1.33	5.33	0.07	5.32	5.33	3547915	731	          0.00	          0.39	5.26	5.43	5.24	5.26	     9.12	1890753024	  3.24	石油加工	北京	 3.61	
="601601"	中国太保	1.33	20.64	0.27	20.62	20.63	890707	12	          0.29	          1.42	20.39	21.00	20.34	20.37	    15.66	1837271296	  2.93	保险	上海	 3.24	
="000400"	许继电气	1.33	20.64	0.27	20.64	20.65	327123	2093	         -0.04	          5.50	20.41	20.94	20.15	20.37	    26.33	672142528	  1.45	电气设备	河南	 3.88	
="601169"	北京银行	1.32	8.45	0.11	8.45	8.46	1493610	45	         -0.23	          1.67	8.38	8.71	8.33	8.34	     5.31	1276068736	  2.23	银行	北京	 4.56	
="300395"	菲利华	1.31	70.50	0.91	70.48	70.50	26801	419	          0.35	         16.54	69.00	71.50	67.03	69.59	    77.42	184475392	  1.18	玻璃	湖北	 6.42	
="600743"	华远地产	1.30	3.89	0.05	3.88	3.89	522806	60	          0.25	          2.88	3.84	3.97	3.79	3.84	    18.36	202488608	  2.82	区域地产	北京	 4.69	
="600269"	赣粤高速	1.27	3.98	0.05	3.98	3.99	798269	130	          0.25	          3.42	3.95	4.27	3.86	3.93	    11.41	323700000	  1.80	路桥	江西	10.43	
="600011"	华能国际	1.25	6.50	0.08	6.49	6.50	669896	21	          0.15	          0.64	6.48	6.64	6.40	6.42	     6.86	436091616	  1.68	火力发电	北京	 3.74	
="600188"	兖州煤业	1.22	9.13	0.11	9.14	9.15	341970	124	          0.21	          1.16	9.14	9.50	9.00	9.02	    17.23	316257824	  2.40	煤炭开采	山东	 5.54	
="000605"	渤海股份	1.21	18.40	0.22	18.40	18.41	43504	485	          0.54	          4.92	18.30	18.79	17.87	18.18	    91.49	79562584	  2.11	水务	北京	 5.06	
="600315"	上海家化	1.20	36.35	0.43	36.34	36.35	138749	295	          0.52	          2.10	36.00	36.37	35.75	35.92	    25.18	500148608	  1.52	日用化工	上海	 1.73	
="600138"	中青旅	1.19	17.93	0.21	17.95	17.96	268511	10	          0.39	          4.31	17.86	18.40	17.60	17.72	    32.33	482695104	  1.22	旅游服务	北京	 4.51	
="600400"	红豆股份	1.18	5.99	0.07	5.98	5.99	225506	79	          0.67	          4.02	5.92	6.04	5.82	5.92	   108.65	133750072	  0.89	服饰	江苏	 3.72	
="600568"	中珠控股	1.18	13.71	0.16	13.67	13.68	177329	120	          0.36	          9.43	13.65	14.21	13.11	13.55	   997.52	243651968	  2.14	区域地产	湖北	 8.12	
="000001"	平安银行	1.17	11.27	0.13	11.26	11.27	2981390	13942	          0.08	          3.03	11.11	11.64	11.07	11.14	     6.15	3390990080	  2.10	银行	深圳	 5.12	
="000024"	招商地产	1.17	13.89	0.16	13.89	13.90	775386	3832	         -0.14	          7.56	13.84	14.14	13.50	13.73	    11.98	1073884032	  1.74	全国地产	深圳	 4.66	
="002602"	世纪华通	1.16	26.94	0.31	26.92	26.94	92041	868	          0.00	          7.30	27.45	27.60	25.83	26.63	   112.95	245378944	  1.36	汽车配件	浙江	 6.65	
="600513"	联环药业	1.13	17.01	0.19	17.01	17.02	51509	36	          0.00	          3.39	16.75	17.16	16.40	16.82	    58.47	86761192	  1.82	化学制药	江苏	 4.52	
="600259"	广晟有色	1.12	46.99	0.52	46.97	46.99	104629	1	          0.72	          4.20	46.40	48.01	45.93	46.47	  1029.00	493134592	  1.95	小金属	海南	 4.48	
="600027"	华电国际	1.10	4.59	0.05	4.58	4.59	1408391	312	          0.21	          2.40	4.59	4.73	4.42	4.54	     7.13	647872256	  1.53	火力发电	山东	 6.83	
="600598"	*ST大荒	1.07	10.37	0.11	10.36	10.37	249597	27	          0.00	          1.40	10.30	10.45	10.16	10.26	    11.45	257827872	  1.62	种植业	黑龙江	 2.83	
