代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	
="600837"	海通证券	10.00	17.93	1.63	17.93	--  	1432189	1	0.00	          1.77	17.93	17.93	17.93	16.30	    26.04	2567915264	  0.27	证券	上海	0.00	17.93	1408391	23798	 59.18	792957	0	--  	
="600118"	中国卫星	10.00	25.52	2.32	25.52	--  	1081137	1	0.00	          9.14	23.48	25.52	22.38	23.20	   105.68	2638683904	  3.44	航空	北京	13.53	24.41	474788	606349	  0.78	39520	0	--  	
="300409"	道氏技术	10.00	30.14	2.74	30.14	--  	23	5	0.00	          0.01	30.14	30.14	30.14	27.40	    24.59	69322	0.00	矿物制品	广东	0.00	30.14	21	2	 10.50	38697	0	--  	
="000776"	广发证券	10.00	24.09	2.19	24.09	--  	3343140	6543	0.00	          5.65	22.95	24.09	22.12	21.90	    35.17	7824683008	  1.33	证券	广东	9.00	23.41	1519176	1823963	  0.83	8077	0	--  	
="300397"	天和防务	10.00	101.54	9.23	101.54	--  	78396	159	0.00	         26.13	93.30	101.54	91.50	92.31	   634.89	775710592	  3.23	通信设备	陕西	10.88	98.95	42593	35803	  1.19	6686	0	--  	
="600990"	四创电子	10.00	57.21	5.20	57.21	--  	80836	10	0.00	          5.91	52.40	57.21	51.50	52.01	   210.28	441677184	  2.02	通信设备	安徽	10.98	54.64	43129	37706	  1.14	2287	0	--  	
="603518"	维格娜丝	10.00	34.88	3.17	34.88	--  	395	5	0.00	          0.11	34.88	34.88	34.88	31.71	    43.64	1377760	  1.65	服饰	江苏	0.00	34.88	378	17	 22.24	29817	0	--  	
="600316"	洪都航空	10.00	30.48	2.77	30.48	--  	863509	18	0.00	         12.04	28.40	30.48	26.00	27.71	  1042.02	2515816448	  2.91	航空	江西	16.17	29.13	406678	456830	  0.89	12445	0	--  	
="600262"	北方股份	10.00	23.55	2.14	23.55	--  	173731	5	0.00	         10.22	21.45	23.55	21.24	21.41	    52.30	394162976	  3.32	工程机械	内蒙	10.79	22.69	85176	88554	  0.96	10263	0	--  	
="603011"	合锻股份	9.99	37.53	3.41	37.53	--  	159062	5	0.00	         35.35	37.29	37.53	36.55	34.12	   252.37	594364736	 20.71	机床制造	安徽	2.87	37.37	89128	69934	  1.27	28387	0	--  	
="603019"	中科曙光	9.99	51.29	4.66	51.29	--  	37276	3	0.00	          4.97	51.29	51.29	51.29	46.63	   389.70	191190752	 11.95	电脑设备	天津	0.00	51.29	32544	4732	  6.88	96736	0	--  	
="600562"	国睿科技	9.99	42.28	3.84	42.28	--  	154829	3	0.00	         11.70	39.00	42.28	39.00	38.44	    91.26	649698880	  5.38	通信设备	江苏	8.53	41.96	91213	63615	  1.43	15348	0	--  	
="002735"	王子新材	9.99	16.08	1.46	16.08	--  	129	5	0.00	          0.06	16.08	16.08	16.08	14.62	    45.37	207432	0.00	塑料	深圳	0.00	16.08	121	8	 15.13	135877	0	--  	
="000155"	川化股份	9.99	7.93	0.72	7.93	--  	292057	179	0.00	          6.21	7.26	7.93	7.25	7.21	--  	228470864	  5.03	农药化肥	四川	9.43	7.82	143893	148163	  0.97	12521	0	--  	
="600818"	中路股份	9.98	27.32	2.48	27.32	--  	15975	4	0.00	          0.67	27.32	27.32	27.32	24.84	   923.12	43645012	  0.17	文教休闲	上海	0.00	27.32	14507	1468	  9.88	16515	0	--  	
="601099"	太平洋	9.98	12.67	1.15	12.67	--  	5270955	265	0.00	         21.25	11.80	12.67	11.30	11.52	    95.98	6450186240	  1.51	证券	云南	11.89	12.24	2327540	2943414	  0.79	12241	0	--  	
="600751"	天津海运	9.98	12.67	1.15	12.67	--  	916563	94	0.00	         26.68	11.45	12.67	11.10	11.52	  2388.73	1096771328	  2.07	水运	天津	13.63	11.97	410652	505910	  0.81	35386	0	--  	
="600061"	中纺投资	9.98	24.46	2.22	24.46	--  	876165	10	0.00	         20.42	24.46	24.46	23.86	22.24	--  	2139908608	 14.49	化纤	上海	2.70	24.42	743544	132620	  5.61	111438	0	--  	
="601788"	光大证券	9.98	28.10	2.55	28.11	--  	2220406	29	-0.03	          6.50	27.00	28.11	25.42	25.55	    80.16	6048927744	  1.25	证券	上海	10.53	27.24	1048192	1172213	  0.89	1277	0	--  	
="000150"	宜华地产	9.98	16.64	1.51	16.64	--  	263232	26	0.00	          8.12	16.64	16.64	15.51	15.13	  5065.80	430470976	  7.12	区域地产	广东	7.47	16.35	155902	107330	  1.45	8020	0	--  	
="601688"	华泰证券	9.98	24.80	2.25	24.78	24.79	5520895	457	0.04	          9.86	23.33	24.81	22.38	22.55	    39.38	13165004800	  1.67	证券	江苏	10.78	23.85	2505559	3015336	  0.83	1989	6106	--  	
="600485"	信威集团	9.97	40.91	3.71	40.91	40.92	121216	15	0.02	          8.75	37.40	40.92	37.00	37.20	 29538.27	474589728	  1.66	通信设备	北京	10.54	39.15	52159	69057	  0.76	126	1298	--  	
="600501"	航天晨光	9.97	15.66	1.42	15.66	--  	394886	2	0.00	         10.14	14.40	15.66	13.76	14.24	    97.51	597684608	  5.86	汽车配件	江苏	13.34	15.14	205638	189248	  1.09	18095	0	--  	
="300299"	富春通信	9.97	14.78	1.34	14.78	--  	29771	8	0.00	          4.05	14.78	14.78	14.78	13.44	   154.75	44001200	  1.13	通信设备	福建	0.00	14.78	29661	109	272.12	26283	0	--  	
="600369"	西南证券	9.96	11.59	1.05	11.59	--  	8099	1	0.00	          0.03	11.59	11.59	11.59	10.54	    27.55	9387193	  0.03	证券	重庆	0.00	11.59	7933	166	 47.79	4817029	0	--  	
="601555"	东吴证券	9.96	21.53	1.95	21.53	21.54	2137673	627	-0.04	         17.50	19.94	21.54	19.12	19.58	    56.41	4408730112	  1.44	证券	江苏	12.36	20.62	1033119	1104553	  0.94	1519	9917	--  	
="601989"	中国重工	9.95	7.18	0.65	7.18	--  	11523898	625	0.00	          7.05	6.88	7.18	6.71	6.53	    44.98	8170851840	  3.03	船舶	北京	7.20	7.09	6017129	5506769	  1.09	909342	0	--  	
="000686"	东北证券	9.95	19.23	1.74	19.22	19.23	2488620	33958	0.15	         14.73	17.95	19.24	17.00	17.49	    46.86	4592495616	  1.62	证券	吉林	12.81	18.45	1146462	1342157	  0.85	1699	3614	--  	
="002500"	山西证券	9.95	16.58	1.50	16.58	16.59	2557035	9236	-0.06	         10.28	15.45	16.59	14.72	15.08	    84.36	4075672576	  1.60	证券	山西	12.40	15.94	1169111	1387923	  0.84	5312	9473	--  	
="600717"	天津港	9.94	17.48	1.58	17.45	17.49	1392915	21	-0.05	          8.32	15.90	17.49	15.18	15.90	    24.15	2294150656	  2.11	港口	天津	14.53	16.47	611905	781010	  0.78	322	181	--  	
="600109"	国金证券	9.93	22.14	2.00	22.14	22.15	3869659	335	0.40	         14.95	20.39	22.15	19.00	20.14	    78.31	8194140160	  1.76	证券	四川	15.64	21.18	1762171	2107487	  0.84	2477	26198	--  	
="601857"	中国石油	9.88	10.12	0.91	10.12	10.13	6602293	450	-0.09	          0.41	9.50	10.13	9.25	9.21	    14.46	6425050112	  2.67	石油开采	北京	9.55	9.73	3280095	3322198	  0.99	3164	6368	--  	
="601633"	长城汽车	9.79	42.38	3.78	42.39	42.40	165402	117	0.18	          0.82	40.01	42.46	39.50	38.60	    17.31	686292096	  1.96	汽车整车	河北	7.67	41.49	74588	90814	  0.82	13	430	--  	
="600399"	抚顺特钢	9.74	27.03	2.40	27.09	--  	267619	3	-0.22	          5.92	25.38	27.09	23.80	24.63	   465.94	691948992	  2.18	特钢	辽宁	13.36	25.86	140006	127612	  1.10	25	0	--  	
="600792"	云煤能源	9.71	9.15	0.81	9.09	9.10	767324	54	0.54	          8.06	9.17	9.17	8.34	8.34	  1268.79	668221568	 13.66	焦炭加工	云南	9.95	8.71	382144	385179	  0.99	148	2914	--  	
="600038"	哈飞股份	9.67	41.96	3.70	41.99	42.00	339664	23	1.32	          8.65	39.30	42.00	36.27	38.26	    76.67	1358632064	  2.34	航空	黑龙江	14.98	40.00	154818	184845	  0.84	341	949	--  	
="300255"	常山药业	9.59	32.91	2.88	32.91	32.93	88522	741	-0.36	          6.85	29.80	33.03	29.19	30.03	    64.10	274956768	  2.26	生物制药	河北	12.79	31.06	41459	47062	  0.88	3299	66	--  	
="600435"	北方导航	9.58	29.04	2.54	29.08	29.09	663539	27	0.34	          8.91	26.72	29.10	24.51	26.50	  5788.88	1844092800	  2.95	专用机械	北京	17.32	27.79	302413	361125	  0.84	965	521	--  	
="002534"	杭锅股份	9.55	24.08	2.10	24.07	24.08	66274	245	-0.16	          1.69	23.00	24.18	22.48	21.98	    74.01	156038288	  1.79	专用机械	浙江	7.73	23.54	29952	36321	  0.82	110	444	--  	
="601000"	唐山港	9.19	9.86	0.83	9.85	9.86	1548191	318	-0.10	          7.63	8.84	9.93	8.37	9.03	    19.91	1423675136	  0.98	港口	河北	17.28	9.20	700126	848064	  0.83	413	186	--  	
="000059"	华锦股份	8.82	11.35	0.92	11.34	11.35	405484	4440	-0.35	          3.38	10.50	11.47	10.45	10.43	--  	448514272	  2.15	石油加工	辽宁	9.78	11.06	181596	223887	  0.81	497	2683	--  	
="002111"	威海广泰	8.76	20.60	1.66	20.60	20.61	243711	2743	0.00	          9.24	19.04	20.75	18.20	18.94	    64.34	482032640	  3.01	航空	山东	13.46	19.78	106282	137428	  0.77	108	1505	--  	
="000897"	津滨发展	8.62	7.81	0.62	7.80	7.81	2488701	23033	-0.25	         15.39	7.25	7.89	6.71	7.19	   417.26	1818855680	  2.48	区域地产	天津	16.41	7.31	1221301	1267399	  0.96	7229	5126	--  	
="002633"	申科股份	8.62	22.81	1.81	22.80	22.81	102203	781	0.13	         11.76	21.80	23.00	21.56	21.00	--  	229383552	  2.77	机械基件	浙江	6.86	22.44	50405	51798	  0.97	292	71	--  	
="000695"	滨海能源	8.62	15.38	1.22	15.37	15.38	64939	5748	3.22	          2.93	14.09	15.45	13.50	14.16	--  	92232288	  2.51	供气供热	天津	13.77	14.20	33372	31567	  1.06	56	584	--  	
="002025"	航天电器	8.58	22.39	1.77	22.38	22.39	319481	4720	0.13	          9.69	20.99	22.40	19.00	20.62	    38.28	683974912	  3.23	元器件	贵州	16.49	21.41	143594	175886	  0.82	509	839	--  	
="601288"	农业银行	8.52	3.31	0.26	3.32	3.33	18027286	2986	0.60	          0.63	3.08	3.33	3.01	3.05	     5.29	5726925824	  1.51	银行	北京	10.49	3.18	7618048	10409238	  0.73	3231	69690	--  	
="600185"	格力地产	8.48	22.13	1.73	22.11	22.14	215779	225	-0.09	          3.74	20.40	22.44	19.40	20.40	    49.72	455685344	  1.27	区域地产	广东	14.90	21.12	96892	118886	  0.81	6	25	--  	
="000022"	深赤湾Ａ	8.44	19.54	1.52	19.54	19.55	176266	2083	0.66	          3.79	17.80	19.55	16.70	18.02	    25.77	325837920	  2.73	港口	深圳	15.82	18.49	75522	100744	  0.75	656	229	--  	
="600879"	航天电子	8.31	16.17	1.24	16.16	16.17	1452491	117	0.00	         13.97	15.26	16.30	14.43	14.93	   110.34	2269947904	  3.89	航空	湖北	12.53	15.63	634292	818199	  0.78	1398	2	--  	
="601890"	亚星锚链	8.12	11.59	0.87	11.58	11.59	332846	20	0.25	          7.11	10.84	11.71	10.41	10.72	    50.11	369065248	  4.45	船舶	江苏	12.13	11.09	145990	186855	  0.78	39	761	--  	
="600148"	长春一东	7.96	23.46	1.73	23.47	23.48	208178	5	-0.38	         14.71	22.00	23.86	20.10	21.73	    89.78	465492480	  3.26	汽车配件	吉林	17.30	22.36	98085	110093	  0.89	1	132	--  	
="300288"	朗玛信息	7.95	189.99	14.00	189.99	190.00	9657	195	1.66	          3.60	174.00	193.00	158.50	175.99	   520.33	171620064	  1.15	软件服务	贵州	19.60	177.72	4011	5645	  0.71	104	195	--  	
="601718"	际华集团	7.66	5.48	0.39	5.48	5.49	2382457	171	1.66	          6.18	5.16	5.50	4.81	5.09	    23.04	1245118848	  2.66	服饰	北京	13.56	5.23	1185266	1197191	  0.99	8295	1544	--  	
="600184"	光电股份	7.60	34.55	2.44	34.55	34.56	98561	5	-0.28	          4.71	32.15	34.87	29.01	32.11	   431.86	329226656	  2.79	玻璃	湖北	18.25	33.40	43239	55321	  0.78	1	11	--  	
="002072"	凯瑞德	7.55	17.37	1.22	17.36	17.37	249207	1310	-0.74	         14.16	15.68	17.70	14.79	16.15	--  	388741824	  2.86	纺织	山东	18.02	15.60	105437	143769	  0.73	44	54	--  	
="000561"	烽火电子	7.53	10.43	0.73	10.43	10.44	338967	5011	-0.47	          5.71	9.86	10.60	9.50	9.70	  1062.65	344802816	  3.73	通信设备	陕西	11.34	10.17	159192	179775	  0.89	40	1050	--  	
="601398"	工商银行	7.49	4.59	0.32	4.59	4.60	10246444	698	0.00	          0.39	4.30	4.68	4.22	4.27	     5.49	4580277248	  1.45	银行	北京	10.77	4.47	4880372	5366071	  0.91	330	1966	--  	
="300265"	通光线缆	7.48	30.90	2.15	30.60	30.90	77945	1096	-0.16	         12.88	31.63	31.63	29.31	28.75	   112.99	241054064	  5.24	电气设备	江苏	8.07	30.93	46844	31101	  1.51	18	656	--  	
="600523"	贵航股份	7.47	18.55	1.29	18.52	18.53	207329	32	-0.10	          7.18	17.50	18.79	16.60	17.26	    54.57	374121792	  3.58	汽车配件	贵州	12.69	18.04	95493	111835	  0.85	70	3	--  	
="600685"	广船国际	7.37	35.09	2.41	34.99	35.00	313265	63	-0.28	          7.14	32.50	35.38	30.11	32.68	--  	1052179200	  1.84	船舶	广东	16.13	33.59	148851	164413	  0.91	7	51	--  	
="300231"	银信科技	7.37	21.26	1.46	21.26	21.28	270246	958	-0.65	         17.36	21.00	21.78	19.60	19.80	    83.63	578515392	  1.93	软件服务	北京	11.01	21.41	156955	113290	  1.39	13	20	--  	
="002644"	佛慈制药	7.36	24.06	1.65	24.06	24.07	59541	988	-0.16	         12.47	22.50	24.65	22.20	22.41	   115.13	140092800	  3.06	中成药	甘肃	10.93	23.53	28392	31148	  0.91	33	172	--  	
="000801"	四川九洲	7.28	20.03	1.36	20.03	20.04	224148	1525	0.04	          4.87	18.68	20.54	18.20	18.67	   144.49	437803648	  3.23	通信设备	四川	12.53	19.53	101146	123001	  0.82	40	327	--  	
="600410"	华胜天成	7.25	28.86	1.95	28.86	28.87	572796	41	-0.06	          8.99	26.73	29.59	25.99	26.91	   191.19	1588647808	  1.74	软件服务	北京	13.38	27.73	267055	305741	  0.87	12	241	--  	
="002179"	中航光电	7.21	27.67	1.86	27.66	27.67	232909	3099	0.00	          5.24	26.70	27.75	24.86	25.81	    40.59	626206400	  2.24	元器件	河南	11.20	26.89	107034	125874	  0.85	2307	81	--  	
="600372"	中航电子	7.18	30.14	2.02	30.18	30.19	534936	15	0.13	          3.04	28.66	30.51	26.38	28.12	   106.43	1564120448	  2.80	航空	江西	14.69	29.24	236973	297963	  0.80	65	15	--  	
="600151"	航天机电	7.18	10.90	0.73	10.90	10.91	1418354	313	0.09	         11.77	10.26	10.98	9.75	10.17	   282.28	1499892864	  3.86	半导体	上海	12.09	10.57	622603	795751	  0.78	76	5650	--  	
="002465"	海格通信	7.09	20.24	1.34	20.23	20.24	797920	5626	-0.04	          8.82	19.01	20.35	18.06	18.90	    85.13	1561810048	  2.67	通信设备	广东	12.12	19.57	341565	456355	  0.75	2634	8186	--  	
