代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	
="600720"	祁连山	-4.89	8.75	-0.45	8.75	8.76	579776	5	-0.11	          7.47	9.25	9.30	8.68	9.20	     8.02	515878304	  1.30	水泥	甘肃	6.74	8.90	334124	245651	  1.36	62	797	--  	
="601168"	西部矿业	-4.92	8.50	-0.44	8.51	8.52	1595188	168	-0.11	          6.69	8.87	8.88	8.10	8.94	    59.50	1364653184	  1.31	铜	青海	8.72	8.55	842506	752681	  1.12	39	851	--  	
="600033"	福建高速	-4.99	3.24	-0.17	3.24	3.25	973329	15	0.30	          3.55	3.40	3.40	3.13	3.41	    13.36	319031104	  1.15	路桥	福建	7.92	3.28	538214	435115	  1.24	319	6983	--  	
="600748"	上实发展	-5.02	10.78	-0.57	10.77	10.78	328433	1	-0.18	          3.03	11.37	11.37	10.41	11.35	    11.98	356783936	  0.95	全国地产	上海	8.46	10.86	187654	140778	  1.33	267	196	--  	
="002007"	华兰生物	-5.15	35.95	-1.95	35.95	35.96	191307	704	0.05	          3.32	37.80	37.80	35.01	37.90	    37.08	693738816	  1.79	生物制药	河南	7.36	36.26	103250	88056	  1.17	193	86	--  	
="002237"	恒邦股份	-5.19	16.81	-0.92	16.81	16.82	174077	1462	-0.23	          4.35	17.76	17.81	16.42	17.73	    24.44	296393024	  0.82	黄金	山东	7.84	17.03	100361	73715	  1.36	947	176	--  	
="002152"	广电运通	-5.31	19.60	-1.10	19.59	19.60	134880	1166	0.00	          1.56	20.70	20.70	19.10	20.70	    29.87	266351248	  0.93	电脑设备	广东	7.73	19.75	80914	53966	  1.50	18	66	--  	
="600007"	中国国贸	-5.33	13.68	-0.77	13.67	13.68	99382	5	-0.14	          0.99	14.54	14.55	13.29	14.45	    24.08	137218384	  1.15	园区开发	北京	8.72	13.81	56751	42630	  1.33	36	24	--  	
="300068"	南都电源	-5.35	10.79	-0.61	10.78	10.79	272717	1748	-0.18	          6.72	11.36	11.36	10.52	11.40	    43.78	297448352	  1.22	电气设备	浙江	7.37	10.91	155343	117374	  1.32	316	254	--  	
="600162"	香江控股	-5.43	6.45	-0.37	6.44	6.45	288203	19	0.00	          3.75	6.82	6.98	6.39	6.82	    15.11	191040592	  1.03	全国地产	深圳	8.65	6.63	170347	117855	  1.45	1003	122	--  	
="600676"	交运股份	-5.48	8.28	-0.48	8.28	8.29	212246	5	-0.24	          2.71	8.76	8.77	8.18	8.76	    22.45	178839472	  1.35	汽车配件	上海	6.74	8.43	125828	86418	  1.46	257	237	--  	
="002146"	荣盛发展	-5.62	13.10	-0.78	13.09	13.10	593586	5338	-0.30	          3.56	13.90	13.90	12.60	13.88	     9.05	786390272	  0.80	全国地产	河北	9.37	13.25	311689	281897	  1.11	246	1886	--  	
